ScientificName,CommonName,Sex,Minimum length at first maturity,Mean length at first maturity (Lm),Measurement type,Country,Locality,Reference,FrenchName
Clupea harengus,Atlantic herring,Female,NA,150,NA,Finland,"Åland, Baltic Sea",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,150,NA,Finland,"Archipelago Sea, Kustavi",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,150,NA,Finland,"Gulf of Finland, Helsinki",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,125,NA,Finland,"Gulf of Finland, Loviisa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,140,NA,Finland,"Gulf of Finland, Tammisaari",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,150,NA,Finland,"Åland, Baltic Sea",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,145,NA,Finland,"Archipelago Sea, Kustavi",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,135,NA,Finland,"Gulf of Finland, Helsinki",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,125,NA,Finland,"Gulf of Finland, Loviisa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,130,NA,Finland,"Gulf of Finland, Tammisaari",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,160,NA,NA,Baltic Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=40549 target='_blank' >Kosior et al. 1979</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,200,SL,Germany (Federal Republic of),Western Baltic,<a href=http://fishbase.ca/references/FBRefSummary.php?id=47114 target='_blank' >Jenkins 1902</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,240,TL,Germany (Federal Republic of),Kieler Förde,<a href=http://fishbase.ca/references/FBRefSummary.php?id=47157 target='_blank' >Neb 1952</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,160,NA,TL,Poland,Gulf of Gdansk (autumn herring),<a href=http://fishbase.ca/references/FBRefSummary.php?id=74523 target='_blank' >Bohl 1956</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,200,NA,TL,NA,Western Baltic (autumn herring),<a href=http://fishbase.ca/references/FBRefSummary.php?id=74533 target='_blank' >Kändler et al. 1958</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,150,NA,Finland,"Bothnian Sea, Pori",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,145,NA,Finland,"Bothnian Sea, Vaasa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,145,NA,Finland,"Bothnian Sea, Pori",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,145,NA,Finland,"Bothnian Sea, Vaasa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,150,NA,Finland,"Bothnian Bay, Kalajoki",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,140,NA,Finland,"Bothnian Bay, Kalajoki",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6818 target='_blank' >Parmanne 1990</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,132,NA,TL,Poland,Gulf of Gdansk (spring herring),<a href=http://fishbase.ca/references/FBRefSummary.php?id=74523 target='_blank' >Bohl 1956</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,200,NA,TL,NA,Western Baltic (spring herring),<a href=http://fishbase.ca/references/FBRefSummary.php?id=74533 target='_blank' >Kändler et al. 1958</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Mixed,NA,221,TL,NA,"Western Baltic Sea, Sub-divisions 22-24 and Division IIIa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=94462 target='_blank' >Froese et al. 2013</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,220,NA,TL,England and Wales (UK),East Anglia (off Flamborough),<a href=http://fishbase.ca/references/FBRefSummary.php?id=791 target='_blank' >Burd 1962</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,240,NA,NA,North Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,240,NA,NA,United Kingdom,"Buchan area, northern North Sea",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6245 target='_blank' >Parrish et al. 1963</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,230,NA,NA,United Kingdom,Southern North Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=791 target='_blank' >Burd 1962</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,257,NA,United Kingdom,Banks stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,275,NA,Scotland (UK),Buchan stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,245,NA,England and Wales (UK),Downs stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Female,NA,260,TL,France,East and West Channel,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6014 target='_blank' >Dorel 1986</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Male,NA,260,TL,France,East and West Channel,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6014 target='_blank' >Dorel 1986</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,220,NA,NA,North Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=791 target='_blank' >Burd 1962</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,240,NA,NA,Southern North Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=40551 target='_blank' >Hickling 1940</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Mixed,NA,241,TL,NA,"North Sea Sub-area IV, Divisions VIId and IIIa",<a href=http://fishbase.ca/references/FBRefSummary.php?id=94462 target='_blank' >Froese et al. 2013</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,240,NA,United Kingdom,South Irish Sea (Dunmore stock),<a href=http://fishbase.ca/references/FBRefSummary.php?id=6237 target='_blank' >Burd 1959</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,238,NA,United Kingdom,Dunmore stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,240,NA,NA,United Kingdom,North Irish Sea (Manx stock),<a href=http://fishbase.ca/references/FBRefSummary.php?id=6246 target='_blank' >Smith 1938</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,270,NA,England and Wales (UK),Clyde stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,237,NA,United Kingdom,Manx stock,<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,280,NA,Norway,Norwegian Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,280,NA,NA,Norway,Atlanto-Scandian,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6222 target='_blank' >Runnström 1936</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,312,NA,Norway,Norwegian stock (spring spawner),<a href=http://fishbase.ca/references/FBRefSummary.php?id=2809 target='_blank' >Jennings et al. 1991</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,289,NA,Norway,"Norwegian spring-spawning herring stock, 1930-1996 (before collapse)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89492 target='_blank' >Engelhard et al. 2004</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,301,NA,Norway,"Norwegian spring-spawning herring stock, 1967-1982 (during collapse)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89492 target='_blank' >Engelhard et al. 2004</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,293,NA,Norway,"Norwegian spring-spawning herring stock, 1983-1992 (after collapse)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89492 target='_blank' >Engelhard et al. 2004</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,240,NA,TL,Iceland,Not given,<a href=http://fishbase.ca/references/FBRefSummary.php?id=87980 target='_blank' >Oskarsson et al. 2006</a>,Hareng atlantique
Clupea harengus,Atlantic herring,Unsexed,NA,275,NA,Iceland,"Off Iceland, summer spawner",<a href=http://fishbase.ca/references/FBRefSummary.php?id=93906 target='_blank' >Jakobsson et al. 1993</a>,Hareng atlantique
Clupea pallasii pallasii,Pacific herring,Unsexed,210,NA,NA,Canada,British Columbia,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4982 target='_blank' >Tester 1955</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,280,NA,NA,Japan,Japan Sea (Hokkaido-Sakhalin),<a href=http://fishbase.ca/references/FBRefSummary.php?id=839 target='_blank' >Beverton 1963</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,240,NA,NA,NA,Okhotsk Sea,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6236 target='_blank' >Ayushin 1963</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,120,NA,NA,NA,White Sea (small Onega),<a href=http://fishbase.ca/references/FBRefSummary.php?id=6248 target='_blank' >Tambovtsev 1957</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Female,NA,209,NA,NA,Northwest Pacific,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4466 target='_blank' >Lassuy 1989</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,NA,209,TL,United States,Washington,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4511 target='_blank' >Gunderson et al. 1988</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Female,NA,290,FL,Russian Federation,North-East Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56336 target='_blank' >Naumenko 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Male,NA,280,FL,Russian Federation,North-East Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56336 target='_blank' >Naumenko 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Female,NA,200,FL,Russian Federation,Kalygir' (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Female,NA,220,FL,Russian Federation,Lake Nerpichiye (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Female,NA,150,FL,Russian Federation,Lake Vilyui (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Male,NA,190,FL,Russian Federation,Lake Nerpichiye (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Male,NA,150,FL,Russian Federation,Lake Vilyui (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,NA,200,FL,Russian Federation,Kalygir' (Kamchatka),<a href=http://fishbase.ca/references/FBRefSummary.php?id=56337 target='_blank' >Trofimov 2003</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,NA,220,TL,NA,Central British Columbia,<a href=http://fishbase.ca/references/FBRefSummary.php?id=74453 target='_blank' >Ware 1980</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,NA,179,TL,Canada,S. Strait of Georgia ,<a href=http://fishbase.ca/references/FBRefSummary.php?id=74437 target='_blank' >Haist et al. 1985</a>,Hareng du Pacifique
Clupea pallasii pallasii,Pacific herring,Unsexed,NA,250,TL,Alaska (USA),SE Alaska,<a href=http://fishbase.ca/references/FBRefSummary.php?id=74453 target='_blank' >Ware 1980</a>,Hareng du Pacifique
Coregonus artedi,Cisco,Unsexed,NA,150,SL,United States,"Muskellunge Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Cisco de lac
Coregonus artedi,Cisco,Unsexed,NA,140,SL,United States,"Silver Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Cisco de lac
Coregonus artedi,Cisco,Unsexed,NA,125,SL,United States,"Trout Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Cisco de lac
Coregonus artedi,Cisco,Mixed,NA,270,TL,Canada,Eastern James-Hudson Bay,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52223 target='_blank' >Morin et al. 1982</a>,Cisco de lac
Coregonus autumnalis,Arctic cisco,Mixed,280,NA,FL,Russian Federation,Enisey river,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>,Cisco arctique
Coregonus pollan,NA,Unsexed,250,270,TL,Ireland,Large lakes in Ireland.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=6258 target='_blank' >Maitland et al. 1992</a>,NA
Coregonus clupeaformis,Lake whitefish,Unsexed,NA,270,NA,Canada,Lake Nipigon,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Grand corégone
Coregonus clupeaformis,Lake whitefish,Unsexed,NA,270,NA,Canada,Shakespeare Is. Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Grand corégone
Coregonus clupeaformis,Lake whitefish,Unsexed,NA,230,NA,United States,"Trout Lake, Wisconsin",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Grand corégone
Coregonus hoyi,Bloater,Mixed,NA,183,TL,United States,"Apostle Islands Region, Lake Superior",<a href=http://fishbase.ca/references/FBRefSummary.php?id=52232 target='_blank' >Dryer et al. 1968</a>,NA
Coregonus kiyi,Kiyi,Unsexed,NA,180,NA,United States,USA,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,NA
Coregonus nasus,Broad whitefish,Mixed,420,NA,FL,Russian Federation,Enisey river,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>,Corégone tschir
Coregonus pidschian,Humpback whitefish,Unsexed,320,NA,SL,Russian Federation,"Keret river, Kandalaksha Bay, White Sea",<a href=http://fishbase.ca/references/FBRefSummary.php?id=6505 target='_blank' >Yershov et al. 1989</a>,NA
Coregonus pidschian,Humpback whitefish,Female,170,NA,NA,Mongolia,Not specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>,NA
Coregonus pidschian,Humpback whitefish,Male,170,NA,NA,Mongolia,Not specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>,NA
Coregonus pidschian,Humpback whitefish,Unsexed,380,NA,NA,Mongolia,Not specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=41072 target='_blank' >Dulmaa 1999</a>,NA
Coregonus pidschian,Humpback whitefish,Mixed,300,NA,TL,Russian Federation,Enisey river,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>,NA
Cottus cognatus,Slimy sculpin,Unsexed,NA,74,TL,Alaska (USA),Chandalar River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=28921 target='_blank' >Craig et al. 1976</a>,Chabot visqueux
Couesius plumbeus,Lake chub,Female,NA,86,FL,NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975",<a href=http://fishbase.ca/references/FBRefSummary.php?id=49192 target='_blank' >Bruce et al. 1976</a>,Méné de lac
Couesius plumbeus,Lake chub,Male,75,NA,FL,NA,"Mile 66 Brook, Ten Mile Lake, Western Labrador, 1975",<a href=http://fishbase.ca/references/FBRefSummary.php?id=49192 target='_blank' >Bruce et al. 1976</a>,Méné de lac
Dorosoma cepedianum,American gizzard shad,Female,NA,361,TL,United States,Lake Erie,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>,Alose à gésier
Dorosoma cepedianum,American gizzard shad,Male,NA,265,TL,United States,Lake Erie,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3672 target='_blank' >Carlander 1969</a>,Alose à gésier
Dorosoma cepedianum,American gizzard shad,Unsexed,178,NA,NA,United States,Not specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=39046 target='_blank' >Miller 1963</a>,Alose à gésier
Eleginus gracilis,Saffron cod,Female,NA,300,TL,Russian Federation,Western Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56347 target='_blank' >Antonov et al. 2003</a>,Cabillaud
Eleginus gracilis,Saffron cod,Male,NA,300,NA,Russian Federation,Western Kamchatka,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56347 target='_blank' >Antonov et al. 2003</a>,Cabillaud
Esox lucius,Northern pike,Female,280,420,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>,Brochet
Esox lucius,Northern pike,Female,280,350,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>,Brochet
Esox lucius,Northern pike,Male,270,380,FL,Scotland (UK),Loch Davan,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>,Brochet
Esox lucius,Northern pike,Male,270,320,FL,Scotland (UK),Loch Kinord,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4843 target='_blank' >Treasurer et al. 1992</a>,Brochet
Esox lucius,Northern pike,Female,NA,295,NA,England and Wales (UK),England,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>,Brochet
Esox lucius,Northern pike,Female,420,NA,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>,Brochet
Esox lucius,Northern pike,Female,390,NA,NA,Canada,Northern Canada (4 lakes),<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>,Brochet
Esox lucius,Northern pike,Female,400,NA,NA,Spain,Not specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>,Brochet
Esox lucius,Northern pike,Female,NA,257,NA,United Kingdom,Scotland,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>,Brochet
Esox lucius,Northern pike,Female,NA,380,NA,Canada,"Waskesiu lake, Saskatchewan",<a href=http://fishbase.ca/references/FBRefSummary.php?id=26395 target='_blank' >Rawson 1932</a>,Brochet
Esox lucius,Northern pike,Female,NA,415,NA,United Kingdom,Windermere,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>,Brochet
Esox lucius,Northern pike,Female,NA,508,NA,United States,Wisconsin,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>,Brochet
Esox lucius,Northern pike,Male,310,NA,NA,Canada,Lac Ste Anne,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26390 target='_blank' >Billard et al. 1983</a>,Brochet
Esox lucius,Northern pike,Male,320,NA,NA,United States,Missouri,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26394 target='_blank' >June 1971</a>,Brochet
Esox lucius,Northern pike,Male,390,NA,NA,Canada,Northern Canada (4 lakes),<a href=http://fishbase.ca/references/FBRefSummary.php?id=4946 target='_blank' >Miller et al. 1948</a>,Brochet
Esox lucius,Northern pike,Male,400,NA,NA,Spain,Not specified.,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26392 target='_blank' >Calderon A... 1955</a>,Brochet
Esox lucius,Northern pike,Male,NA,263,NA,United Kingdom,Scotland,<a href=http://fishbase.ca/references/FBRefSummary.php?id=3858 target='_blank' >Munro 1957</a>,Brochet
Esox lucius,Northern pike,Male,380,NA,NA,United Kingdom,Windermere,<a href=http://fishbase.ca/references/FBRefSummary.php?id=4992 target='_blank' >Frost et al. 1967</a>,Brochet
Esox lucius,Northern pike,Male,380,NA,NA,United States,Wisconsin,<a href=http://fishbase.ca/references/FBRefSummary.php?id=26396 target='_blank' >Toner et al. 1969</a>,Brochet
Esox lucius,Northern pike,Mixed,400,NA,SL,Russian Federation,Enisey river,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56502 target='_blank' >Podlesnyi 1958</a>,Brochet
Esox lucius,Northern pike,Female,250,NA,SL,NA,Europe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>,Brochet
Esox lucius,Northern pike,Male,170,NA,SL,NA,Europe,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>,Brochet
Esox lucius,Northern pike,Female,NA,380,NA,Ireland,"Pollaphuca Reservoir, 1990 (April)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>,Brochet
Esox lucius,Northern pike,Male,NA,340,NA,Ireland,"Pollaphuca Reservoir, 1990 (April)",<a href=http://fishbase.ca/references/FBRefSummary.php?id=89783 target='_blank' >Roche et al. 1999</a>,Brochet
Esox reichertii,NA,Unsexed,NA,400,TL,Russian Federation,Primorye,<a href=http://fishbase.ca/references/FBRefSummary.php?id=56557 target='_blank' >Novikov et al. 2002</a>,Brochet du Nord
Esox masquinongy,Muskellunge,Female,NA,770,NA,United States,Chautauqua Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=45885 target='_blank' >Bimber 1982</a>,Maskinongé
Esox masquinongy,Muskellunge,Male,NA,670,NA,United States,Chautauqua Lake,<a href=http://fishbase.ca/references/FBRefSummary.php?id=45885 target='_blank' >Bimber 1982</a>,Maskinongé
Esox niger,Chain pickerel,Unsexed,156,NA,NA,United States,Not specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=39116 target='_blank' >Lewis 1971</a>,Brochet maillé
Fundulus heteroclitus,Mummichog,Unsexed,35,NA,SL,NA,Not specified,<a href=http://fishbase.ca/references/FBRefSummary.php?id=59043 target='_blank' >Kottelat et al. 2007</a>,Choquemort
Gasterosteus aculeatus,Three-spined stickleback,Unsexed,NA,36,NA,England and Wales (UK),"Cheshire, England",<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Épinoche à trois épines
Gasterosteus aculeatus,Three-spined stickleback,Female,NA,55,TL,France,Roscoff (brackish waters),<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>,Épinoche à trois épines
Gasterosteus aculeatus,Three-spined stickleback,Male,NA,45,TL,France,Roscoff (brackish waters),<a href=http://fishbase.ca/references/FBRefSummary.php?id=981 target='_blank' >Bertin 1923</a>,Épinoche à trois épines
Hybognathus hankinsoni,Brassy minnow,Unsexed,NA,57,SL,Canada,Ontario,<a href=http://fishbase.ca/references/FBRefSummary.php?id=58612 target='_blank' >Portt et al. 1988</a>,Mémé laiton
Hybognathus regius,Eastern silvery minnow,Unsexed,NA,87,TL,United States,Virginia,<a href=http://fishbase.ca/references/FBRefSummary.php?id=54724 target='_blank' >Jenkins et al. 1993</a>,Méné d'argent
Hypomesus olidus,Pond smelt,Unsexed,NA,100,NA,Japan,Lake Suwa,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Éperlan à petite bouche
Hypomesus nipponensis,NA,Unsexed,60,NA,TL,Japan,"Lake Abashiri, 1996",<a href=http://fishbase.ca/references/FBRefSummary.php?id=93858 target='_blank' >Torisawa 1999</a>,Éperlan à petite bouche
Hypomesus transpacificus,NA,Unsexed,55,60,FL,United States,California,<a href=http://fishbase.ca/references/FBRefSummary.php?id=33312 target='_blank' >Saruwatari et al. 1997</a>,Éperlan à petite bouche
Ichthyomyzon castaneus,Chestnut lamprey,Unsexed,NA,101,TL,Canada,Manitoba,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>,Lamproie brune
Ichthyomyzon fossor,Northern brook lamprey,Unsexed,NA,135,TL,Canada,To be filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>,Lamproie du nord
Ichthyomyzon unicuspis,Silver lamprey,Unsexed,NA,100,TL,Canada,To be filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=52559 target='_blank' >Coker et al. 2001</a>,Lamproie argentée
Ictalurus punctatus,Channel catfish,Unsexed,NA,360,NA,United States,Mississippi River,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Barbue de rivière
Labidesthes sicculus,Brook silverside,Unsexed,NA,70,NA,NA,USA,<a href=http://fishbase.ca/references/FBRefSummary.php?id=796 target='_blank' >Beverton et al. 1959</a>,Crayon d'argent
Lampetra ayresii,Western river lamprey,Unsexed,NA,162,TL,Canada,To be filled,<a href=http://fishbase.ca/references/FBRefSummary.php?id=1998 target='_blank' >Scott et al. 1998</a>,Lamproie de rivière
